"Var1","Var2"
-1.42437087774468,-1.4306573433606
-1.41245801056785,-1.37490307804017
-1.41105447681344,-1.41897051134329
-1.40104175827203,-1.41575227804789
-1.41244495133497,-1.41016572840321
-1.44137659367353,-1.42024015788848
-1.41193171627075,-1.41755508229388
-1.39226633913114,-1.40922538232014
-1.4236160638764,-1.42030494381211
-1.44619197951293,-1.39905250084057
-1.41602397880516,-1.42756853261321
-1.40915346124069,-1.42615560239309
-1.42690757401539,-1.41580510187233
-1.43895198305675,-1.4119670502799
-1.44202755863343,-1.38963683840058
-1.41525045749445,-1.39285230134826
-1.41426508925371,-1.38665182934199
-1.40639168174651,-1.42591730867207
-1.43639677340109,-1.42825365274867
-1.43601502524508,-1.42929705340778
-1.43956162590792,-1.43214474047534
-1.38203928639994,-1.44291078801693
-1.44624178611053,-1.40626838740991
-1.4653487785163,-1.44492423327841
-1.41542384976366,-1.38499677977508
-1.4210423953304,-1.45832904339788
-1.39188061006701,-1.37321620802366
-1.4253912331943,-1.40624067937124
-1.38141335765761,-1.41578217749623
-1.41258119666563,-1.39763299608858
-1.42135292944267,-1.38647797936875
-1.4169565685123,-1.40460428843816
-1.39674276905968,-1.42677541999684
-1.42087089181282,-1.45513914199539
-1.44802207363613,-1.41294119837319
-1.39155131018981,-1.42949645807734
-1.39892590340506,-1.4206580432626
-1.39010992034988,-1.39566091652328
-1.41969710550902,-1.42920229409326
-1.40519083135736,-1.43484089513496
-1.39563033826708,-1.42865842618713
-1.44766039357467,-1.40108847569638
-1.400965821749,-1.44603343954215
-1.38048055268839,-1.408079372665
-1.42309603186971,-1.40323993453082
-1.4083140211648,-1.40874808007522
-1.39509937534826,-1.4178490871388
-1.42990734423501,-1.42166069013974
-1.42549377643231,-1.44815444984058
-1.42661453693728,-1.4172823889444
-1.41353870132988,-1.39598687551055
-1.40704989784778,-1.42560599524925
-1.40763936276366,-1.42699970079002
-1.42451867616618,-1.40468824776127
-1.41738769648518,-1.40763831314284
-1.41290695294929,-1.44106743340559
-1.44285933289806,-1.41675080365782
-1.4452401282884,-1.41164600918191
-1.40958996762662,-1.41828457592257
-1.37479199844387,-1.43592298247997
-1.40213489000393,-1.45166679499248
-1.41447053776009,-1.35834155278
-1.36151624430369,-1.44132257894676
-1.40992220735066,-1.38207402478017
-1.44209415809206,-1.4140459079218
-1.43186102524685,-1.40295656968378
-1.44727103597232,-1.43817089497648
-1.42046752406712,-1.40682438724522
-1.43253859907409,-1.41112516501849
-1.40398381749235,-1.40963394646468
-1.42549463602568,-1.40095206288085
